katnum	katspec	codeloc	katdatum	katgesla	katleeft	katpet	katprgnt	katlact	katrectl	katoral	katserum	GLIMS	SARS2_ELISA	VNT_SARS2_VSV	katpcr_o	katct_o	katpcr_r	katct_r
1	cat	1	7-5-2020	1	5	0	0	0	1	1	1	GLIMS-220050807001	0	0	0		0	
2	cat	1	7-5-2020	2	2	0	0	0	1	1	1	GLIMS-220050807101	0	0	0		0	
3	cat	1	7-5-2020	1	4	0	0	0	1	1	1	GLIMS-220050807201	0	0	0		0	
4	cat	1	7-5-2020	2		0	0	0	1	1	1	GLIMS-220050807301	0	0	0		0	
5	cat	1	7-5-2020	1	1	0	0	0	1	1	1	GLIMS-220050807401	1	512	0		0	
6	cat	1	7-5-2020	2	1	0	0	1	1	1	1	GLIMS-220050807501	0	0	0		0	
7	cat	1	7-5-2020	2	1	0	0	0	1	1	1	GLIMS-220050807601	0	0	0		0	
8	cat	1	7-5-2020	2	1	0	1	0	1	1	1	GLIMS-220050807701	1	512	0		0	
9	cat	1	7-5-2020	2	1	0	1	0	1	1	1	GLIMS-220050807801	1	1024	0		0	
13	cat	1	7-5-2020	2	3	1	0	0	1	1	1	GLIMS-220050807901	0	0	0		0	
14	cat	1	7-5-2020	2	1	1	0	0	1	1	1	GLIMS-220050808001	0	0	0		0	
16	cat	1	17-5-2020	2	12	1	0	0	1	1	1	GLIMS-220051803701	0	0	0		0	
17	cat	1	17-5-2020	2	1	1	0	1	1	1	1	GLIMS-220051803801	0	0	0		0	
18	cat	1	17-5-2020	2	1	0	0	0	1	1	1	GLIMS-220051803901	0	0	0		0	
19	cat	1	17-5-2020	2	1	0	0	0	1	1	1	GLIMS-220051804001	1	1024	1	33	0	
20	cat	1	17-5-2020	2	2	0	0	0	1	1	1	GLIMS-220051804101	1	512	0		0	
21	cat	1	17-5-2020	2	2	0	0	0	1	1	1	GLIMS-220051804201	0	0	0		0	
22	cat	1	17-5-2020	2	1	0	0	0	1	1	1	GLIMS-220051804301	1	1024	0		0	
23	cat	1	17-5-2020	2	1	0	0	0	1	1	1	GLIMS-220051804401	0	0	0		0	
24	cat	1	17-5-2020	2	1	0	0	0	1	1	1	GLIMS-220051804501	0	0	0		0	
26	cat	1	17-5-2020	1	1	0	0	0	1	1	1	GLIMS-220051804601	0	0	0		0	
27	cat	1	17-5-2020	2	1	0	1	0	1	1	1	GLIMS-220051804701	0	0	0		0	
28	cat	1	17-5-2020	1	1	0	0	0	1	1	1	GLIMS-220051804801	0	0	0		0	
29	cat	1	17-5-2020	1	1	0	0	0	1	1	1	GLIMS-220051804901	0	0	0		0	
30	cat	1	17-5-2020	1	2	0	0	0	1	1	1	GLIMS-220051805001	1	1024	0		0	
33	cat	3	22-5-2020	1	1	0	0	0	1	1	1	GLIMS-220052507501	0	0	0		0	
34	cat	3	22-5-2020	1	3	0	0	0	1	1	1	GLIMS-220052507601	0	0	0		0	
